#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
278804:5198,08/13/16 17:20:06,5,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.001150750,0.000755143
278808:5198,08/13/16 21:38:11,1449,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.216207298,0.208341053
278820:5199,08/14/16 17:05:41,585,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.098367703,0.093833888
278822:5199,08/14/16 21:52:47,1627,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.199018810,0.192814295
278874:5205,08/16/16 02:28:27,81,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.013783293,0.012082985
278875:5205,08/16/16 03:01:20,834,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.121563483,0.116011101
278969:5211,08/17/16 14:35:07,267,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.047491410,0.044402112
278975:5211,08/17/16 16:23:16,854,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.127647582,0.121101529
278976:5211,08/17/16 21:58:16,20,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.002678462,0.002577860
279024:5219,08/18/16 22:33:26,297,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.052003543,0.049525731
279029:5219,08/19/16 02:19:40,260,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.040451141,0.038452135
279071:5222,08/19/16 15:40:07,174,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.023702023,0.022788491
279080:5223,08/19/16 22:47:30,145,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.012242234,0.011911082
279115:5229,08/20/16 22:10:06,93,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.015202830,0.014729665
279479:5247,08/25/16 04:48:10,67,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.003983965,0.003781377
279588:5251,08/26/16 02:53:58,270,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.047137166,0.045575292
279654:5253,08/26/16 20:44:26,416,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.072584911,0.070413669
279656:5253,08/26/16 23:49:40,49,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.007732698,0.005736806
279658:5253,08/27/16 01:35:19,713,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.097035849,0.094227310
279694:5257,08/28/16 10:45:16,1200,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.187819853,0.183095670
279716:5258,08/29/16 04:33:52,1286,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.196406188,0.191308121
279766:5261,08/30/16 03:54:53,1262,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.194458390,0.188843715
279767:5261,08/30/16 12:08:03,776,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.092636863,0.090583908
279841:5266,08/31/16 22:41:56,919,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.151216177,0.146659515
279931:5274,09/02/16 18:07:44,1935,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.273972530,0.266647268
280016:5277,09/04/16 07:44:12,150,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.027963306,0.025901062
280017:5277,09/04/16 08:45:47,613,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.102625897,0.098921384
280018:5277,09/04/16 12:47:05,1282,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.164850851,0.160429977
280020:5277,09/04/16 21:15:15,45,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.004826981,0.004651996
280024:5277,09/04/16 21:47:39,427,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.042966907,0.042184958
280191:5279,09/06/16 03:22:44,179,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,0.032926235,0.030142586
