#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
278769:5197,08/13/16 06:38:56,31,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.008151486,0.007290296
278801:5198,08/13/16 14:43:37,42,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.011296467,0.007893317
278802:5198,08/13/16 15:01:05,17,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.004075930,0.001725289
278803:5198,08/13/16 15:10:53,323,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.079394492,0.072484096
278804:5198,08/13/16 17:20:06,5,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.001150750,0.000755143
278805:5198,08/13/16 17:23:10,285,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.062070589,0.056436357
278808:5198,08/13/16 19:25:19,1791,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.282719719,0.272186693
278820:5199,08/14/16 11:00:51,1524,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.302396577,0.289436862
278822:5199,08/14/16 21:52:47,1627,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.199018810,0.192814295
278873:5205,08/15/16 23:25:45,60,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.011377665,0.002032904
278874:5205,08/15/16 23:51:53,484,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.089088337,0.082659432
278875:5205,08/16/16 03:01:20,834,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.121563483,0.116011101
278923:5206,08/16/16 12:16:32,413,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.104061633,0.099646041
278957:5209,08/16/16 21:31:36,149,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.038154004,0.036574296
278962:5210,08/17/16 01:08:31,348,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.084262776,0.076813045
278963:5210,08/17/16 03:24:57,174,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.038947004,0.037440157
278969:5211,08/17/16 07:16:52,1394,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.299935281,0.285918226
278975:5211,08/17/16 16:23:16,854,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.127647582,0.121101529
278976:5211,08/17/16 21:58:16,20,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.002678462,0.002577860
278986:5213,08/18/16 04:02:59,129,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.034035976,0.031910669
279024:5219,08/18/16 22:31:53,301,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.052734374,0.050088376
279029:5219,08/19/16 02:19:40,260,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.040451141,0.038452135
279071:5222,08/19/16 15:40:07,174,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.023702023,0.022788491
279080:5223,08/19/16 22:42:50,157,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.013339325,0.012876333
279115:5229,08/20/16 22:08:09,407,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.088522114,0.085189739
279116:5229,08/21/16 01:36:03,448,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.095442823,0.091582776
279479:5247,08/25/16 04:33:24,105,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.006335007,0.005993889
279588:5251,08/25/16 21:08:11,1160,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.239315562,0.230879394
279653:5253,08/26/16 14:05:52,188,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.047290979,0.043879144
279654:5253,08/26/16 15:21:58,1245,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.250959288,0.242855226
279656:5253,08/26/16 23:49:40,49,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.007732698,0.005736806
279658:5253,08/27/16 01:35:19,713,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.097035849,0.094227310
279667:5254,08/27/16 09:08:23,966,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.218139226,0.210966708
279681:5256,08/27/16 21:57:02,28,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.007338151,0.006746151
279682:5256,08/27/16 22:11:02,47,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.012396993,0.007864511
279683:5256,08/27/16 22:32:16,31,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.008064553,0.006434360
279684:5256,08/27/16 22:46:58,30,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.007626143,0.005362302
279685:5256,08/27/16 23:07:12,208,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.050571510,0.048949065
279691:5257,08/28/16 03:41:26,50,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.012315695,0.009765373
279694:5257,08/28/16 04:03:09,2235,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.422637127,0.410524768
279715:5258,08/28/16 22:01:34,577,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.134594200,0.129165228
279716:5258,08/29/16 02:17:06,1638,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.265251087,0.258407241
279760:5261,08/29/16 20:21:24,658,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.161024012,0.155199085
279766:5261,08/30/16 01:08:36,1690,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.279009964,0.270889647
279767:5261,08/30/16 12:08:03,776,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.092636863,0.090583908
279794:5264,08/30/16 23:41:02,1024,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.232460796,0.225486947
279823:5265,08/31/16 10:00:39,335,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.085329204,0.082750019
279841:5266,08/31/16 15:23:17,2040,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.396657811,0.384216979
279844:5267,09/01/16 07:21:16,224,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.059896668,0.057240986
279887:5270,09/01/16 23:20:52,319,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.078037606,0.074126575
279931:5274,09/02/16 11:37:39,2936,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.495181699,0.479950450
279966:5275,09/03/16 09:20:25,363,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.098086749,0.094085114
279975:5276,09/03/16 14:45:09,1024,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.250777578,0.241662520
279993:5277,09/04/16 00:23:27,78,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.021218782,0.018287474
279994:5277,09/04/16 00:56:48,54,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.015176453,0.012524966
280013:5277,09/04/16 03:35:47,32,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.007587930,0.005697175
280015:5277,09/04/16 03:55:19,572,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.120942443,0.116388172
280016:5277,09/04/16 07:42:16,155,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.028921928,0.026838406
280017:5277,09/04/16 08:45:47,613,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.102625897,0.098921384
280018:5277,09/04/16 12:47:05,1282,HLT_PFHT450_SixJet40_BTagCSV_p056_v3,0.164850851,0.160429977
