#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
278804:5198,08/13/16 17:20:06,5,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.001150750,0.000755143
278805:5198,08/13/16 19:13:31,4,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.000839983,0.000000528
278808:5198,08/13/16 19:25:19,1791,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.282719719,0.272186693
278820:5199,08/14/16 15:04:51,896,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.159235361,0.152208179
278822:5199,08/14/16 21:52:47,1627,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.199018810,0.192814295
278873:5205,08/15/16 23:35:28,35,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.006217227,0.001367620
278874:5205,08/15/16 23:51:53,340,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.061380802,0.056249079
278875:5205,08/16/16 03:01:20,834,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.121563483,0.116011101
278969:5211,08/17/16 12:28:27,592,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.110785386,0.104973462
278975:5211,08/17/16 16:23:16,854,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.127647582,0.121101529
278976:5211,08/17/16 21:58:16,20,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.002678462,0.002577860
279024:5219,08/18/16 22:33:26,297,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.052003543,0.049525731
279029:5219,08/19/16 02:19:40,260,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.040451141,0.038452135
279071:5222,08/19/16 15:40:07,174,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.023702023,0.022788491
279080:5223,08/19/16 22:47:30,145,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.012242234,0.011911082
279115:5229,08/20/16 22:10:06,125,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.021413957,0.020689691
279116:5229,08/21/16 03:53:12,95,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.019090425,0.018258091
279479:5247,08/25/16 04:48:10,67,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.003983965,0.003781377
279588:5251,08/26/16 01:03:38,554,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.102286664,0.099080683
279654:5253,08/26/16 18:38:10,741,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.136447241,0.132425110
279656:5253,08/26/16 23:49:40,49,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.007732698,0.005736806
279658:5253,08/27/16 01:35:19,713,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.097035849,0.094227310
279667:5254,08/27/16 13:46:57,249,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.049525836,0.047828808
279694:5257,08/28/16 08:52:12,1491,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.245268000,0.238412666
279716:5258,08/29/16 02:28:22,1609,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.259269661,0.252618683
279766:5261,08/30/16 01:31:31,1631,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.266756807,0.258937169
279767:5261,08/30/16 12:08:03,776,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.092636863,0.090583908
279794:5264,08/31/16 04:49:07,231,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.045708550,0.044453698
279841:5266,08/31/16 21:05:58,1166,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.199633307,0.193448555
279931:5274,09/02/16 15:57:11,2269,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.339394973,0.330370483
279975:5276,09/03/16 20:27:49,170,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.034975040,0.033935207
280015:5277,09/04/16 05:46:27,289,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.058102315,0.056384465
280016:5277,09/04/16 07:44:12,150,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.027963306,0.025901062
280017:5277,09/04/16 08:45:47,613,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.102625897,0.098921384
280018:5277,09/04/16 12:47:05,1282,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.164850851,0.160429977
280020:5277,09/04/16 21:15:15,45,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.004826981,0.004651996
280024:5277,09/04/16 21:47:39,427,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.042966907,0.042184958
280191:5279,09/06/16 01:17:38,501,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.097004654,0.091931945
280194:5279,09/06/16 05:41:24,225,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.036111925,0.035001508
280249:5282,09/06/16 20:14:16,1378,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.237776627,0.229627090
280251:5282,09/07/16 05:14:58,371,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.048858039,0.047592501
280330:5287,09/08/16 13:14:34,173,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.034353617,0.032104103
280349:5287,09/08/16 14:27:22,625,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.109446418,0.105115956
280363:5287,09/08/16 18:48:10,358,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.052011242,0.050173339
280364:5287,09/08/16 21:09:57,1351,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.162516498,0.156605510
280385:5288,09/09/16 13:16:22,1392,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,0.235907904,0.227642670
281613:5331,09/25/16 06:06:16,752,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.010767356,0.009129663
281641:5338,09/26/16 09:47:00,184,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.022733208,0.021647505
281693:5339,09/26/16 20:55:33,1577,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.249199757,0.241420566
281707:5340,09/27/16 14:48:12,178,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.035417981,0.033727544
281726:5340,09/27/16 16:14:38,289,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.051752146,0.049834009
281727:5340,09/27/16 18:10:03,1605,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.209736412,0.203808379
281797:5345,09/28/16 17:38:32,1193,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.201117615,0.194955048
281976:5351,09/30/16 08:13:58,1636,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.235958728,0.227839257
282037:5352,10/01/16 02:34:26,1218,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.197823417,0.190096565
282092:5355,10/02/16 18:30:31,1462,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.232531970,0.225740499
282710:5391,10/09/16 08:49:08,9,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.002750876,0.000350704
282735:5393,10/09/16 18:39:28,1754,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.266190346,0.258115200
282814:5394,10/10/16 19:58:01,1691,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.255813852,0.247945075
282922:5401,10/12/16 05:56:57,15,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.003088225,0.001695536
282923:5401,10/12/16 06:04:20,226,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.044249828,0.040888008
283042:5405,10/12/16 22:38:59,10,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.002704425,0.001435533
283270:5416,10/15/16 01:16:05,817,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.141834607,0.137107815
283283:5416,10/15/16 06:35:59,1748,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.204630501,0.199136156
283308:5418,10/16/16 03:22:10,854,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.149550886,0.143711262
283358:5421,10/17/16 02:12:41,769,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.137830459,0.129937858
283359:5421,10/17/16 07:15:19,428,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.062846963,0.061358758
283408:5423,10/18/16 05:07:13,1283,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.207858161,0.199356473
283416:5423,10/18/16 15:16:09,197,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.022663827,0.022044105
283548:5433,10/19/16 23:00:13,10,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.001954851,0.001831467
283682:5437,10/21/16 06:22:40,39,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.007822640,0.007420016
283685:5437,10/21/16 06:39:38,314,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.021584449,0.020476214
283820:5439,10/21/16 20:48:18,1482,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.270406684,0.261598727
283830:5439,10/22/16 06:27:24,722,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.106078202,0.103188837
283834:5439,10/22/16 11:11:28,82,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.010473801,0.009088268
283835:5439,10/22/16 11:45:28,112,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.013217799,0.011410360
283865:5441,10/22/16 23:31:51,246,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.046959492,0.045610085
283877:5442,10/23/16 09:36:14,1248,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v5,0.202975926,0.196571327
