#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
302448:6174,09/06/17 20:48:45,1898,HLT_IsoMu24_v10,0.315621379,0.307866591
302026:6147,08/30/17 06:49:09,30,HLT_IsoMu24_v10,0.005227350,0.004651888
302029:6147,08/30/17 07:16:38,92,HLT_IsoMu24_v10,0.018613804,0.015281544
302031:6147,08/30/17 08:08:29,814,HLT_IsoMu24_v10,0.134165173,0.128521640
302033:6147,08/30/17 13:34:23,41,HLT_IsoMu24_v10,0.005614082,0.005173654
302034:6147,08/30/17 13:54:42,12,HLT_IsoMu24_v10,0.001619056,0.000483548
302037:6147,08/30/17 14:25:38,2,HLT_IsoMu24_v10,0.000262085,0.000060437
302038:6147,08/30/17 14:31:57,1,HLT_IsoMu24_v10,0.000130110,0.000008983
302040:6147,08/30/17 14:35:43,168,HLT_IsoMu24_v10,0.021432399,0.020954841
302041:6147,08/30/17 15:44:00,65,HLT_IsoMu24_v10,0.007907780,0.007738133
302042:6147,08/30/17 16:12:11,516,HLT_IsoMu24_v10,0.056165956,0.054983585
302043:6147,08/30/17 19:35:17,228,HLT_IsoMu24_v10,0.021191557,0.020761524
302131:6152,08/31/17 12:32:49,873,HLT_IsoMu24_v10,0.114100110,0.111634653
302159:6155,09/01/17 00:37:45,108,HLT_IsoMu24_v10,0.016991342,0.016076609
302163:6156,09/01/17 03:33:23,1189,HLT_IsoMu24_v10,0.151386199,0.146312058
302165:6156,09/01/17 11:25:29,80,HLT_IsoMu24_v10,0.007239511,0.006889986
302166:6156,09/01/17 11:58:48,16,HLT_IsoMu24_v10,0.001543379,0.001518820
302225:6158,09/01/17 18:41:42,868,HLT_IsoMu24_v10,0.117430288,0.114788470
302228:6159,09/02/17 03:31:11,234,HLT_IsoMu24_v10,0.039717461,0.038240724
302229:6159,09/02/17 05:05:33,457,HLT_IsoMu24_v10,0.069211592,0.067570786
302240:6160,09/02/17 10:53:49,960,HLT_IsoMu24_v10,0.141917734,0.138868374
302262:6161,09/03/17 03:32:01,428,HLT_IsoMu24_v10,0.078833217,0.075969816
302263:6161,09/03/17 06:21:33,1250,HLT_IsoMu24_v10,0.168935530,0.165383267
302277:6165,09/03/17 22:44:53,372,HLT_IsoMu24_v10,0.055365409,0.053761113
302279:6165,09/04/17 07:35:57,70,HLT_IsoMu24_v10,0.006381986,0.005862909
302280:6165,09/04/17 08:06:51,152,HLT_IsoMu24_v10,0.012808800,0.012611393
302322:6167,09/04/17 17:43:03,838,HLT_IsoMu24_v10,0.099513483,0.096870474
302328:6168,09/05/17 01:49:04,681,HLT_IsoMu24_v10,0.096130173,0.093450403
302337:6169,09/05/17 09:16:54,127,HLT_IsoMu24_v10,0.022010484,0.020376770
302342:6169,09/05/17 10:22:40,54,HLT_IsoMu24_v10,0.009166992,0.006933228
302343:6169,09/05/17 10:52:16,97,HLT_IsoMu24_v10,0.015871197,0.015318244
302344:6169,09/05/17 11:33:14,480,HLT_IsoMu24_v10,0.070481221,0.068798124
302350:6169,09/05/17 15:02:18,136,HLT_IsoMu24_v10,0.016753059,0.016492993
302388:6170,09/05/17 18:47:02,685,HLT_IsoMu24_v10,0.130525792,0.126263558
302392:6171,09/06/17 01:57:37,355,HLT_IsoMu24_v10,0.079098757,0.074911826
302393:6171,09/06/17 04:19:09,887,HLT_IsoMu24_v10,0.160742391,0.157322303
302472:6175,09/07/17 11:26:58,781,HLT_IsoMu24_v10,0.161048569,0.154748577
