#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
302448:6174,09/06/17 20:48:45,1898,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.315621379,0.307866591
302026:6147,08/30/17 06:49:09,30,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.005227350,0.004651888
302029:6147,08/30/17 07:16:38,92,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.018613804,0.015281544
302031:6147,08/30/17 08:08:29,814,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.134165173,0.128521640
302033:6147,08/30/17 13:34:23,41,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.005614082,0.005173654
302034:6147,08/30/17 13:54:42,12,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.001619056,0.000483548
302037:6147,08/30/17 14:25:38,2,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.000262085,0.000060437
302038:6147,08/30/17 14:31:57,1,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.000130110,0.000008983
302040:6147,08/30/17 14:35:43,168,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.021432399,0.020954841
302041:6147,08/30/17 15:44:00,65,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.007907780,0.007738133
302042:6147,08/30/17 16:12:11,516,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.056165956,0.054983585
302043:6147,08/30/17 19:35:17,228,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.021191557,0.020761524
302131:6152,08/31/17 12:32:49,873,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.114100110,0.111634653
302159:6155,09/01/17 00:37:45,108,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.016991342,0.016076609
302163:6156,09/01/17 03:33:23,1189,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.151386199,0.146312058
302165:6156,09/01/17 11:25:29,80,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.007239511,0.006889986
302166:6156,09/01/17 11:58:48,16,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.001543379,0.001518820
302225:6158,09/01/17 18:41:42,868,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.117430288,0.114788470
302228:6159,09/02/17 03:31:11,234,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.039717461,0.038240724
302229:6159,09/02/17 05:05:33,457,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.069211592,0.067570786
302240:6160,09/02/17 10:53:49,960,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.141917734,0.138868374
302262:6161,09/03/17 03:32:01,428,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.078833217,0.075969816
302263:6161,09/03/17 06:21:33,1250,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.168935530,0.165383267
302277:6165,09/03/17 22:44:53,372,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.055365409,0.053761113
302279:6165,09/04/17 07:35:57,70,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.006381986,0.005862909
302280:6165,09/04/17 08:06:51,152,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.012808800,0.012611393
302322:6167,09/04/17 17:43:03,838,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.099513483,0.096870474
302328:6168,09/05/17 01:49:04,681,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.096130173,0.093450403
302337:6169,09/05/17 09:16:54,127,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.022010484,0.020376770
302342:6169,09/05/17 10:22:40,54,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.009166992,0.006933228
302343:6169,09/05/17 10:52:16,97,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.015871197,0.015318244
302344:6169,09/05/17 11:33:14,480,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.070481221,0.068798124
302350:6169,09/05/17 15:02:18,136,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.016753059,0.016492993
302388:6170,09/05/17 18:47:02,685,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.130525792,0.126263558
302392:6171,09/06/17 01:57:37,355,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.079098757,0.074911826
302393:6171,09/06/17 04:19:09,887,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.160742391,0.157322303
302472:6175,09/07/17 11:26:58,781,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.161048569,0.154748577
302473:6175,09/07/17 16:32:57,368,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.062080006,0.060432748
302474:6175,09/07/17 19:17:17,305,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.045529150,0.043413267
302475:6175,09/07/17 21:17:58,2,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.000283688,0.000099576
302476:6175,09/07/17 21:22:33,259,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.034366510,0.033417297
302479:6176,09/08/17 01:19:43,309,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.071561951,0.068380572
302484:6177,09/08/17 06:07:18,169,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.038848834,0.036414086
302485:6177,09/08/17 07:17:25,922,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.179207049,0.173348266
302492:6177,09/08/17 13:49:02,44,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.006976952,0.006787591
302493:6177,09/08/17 14:09:59,2,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.000313803,0.000141710
302494:6177,09/08/17 14:13:24,618,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v3,0.088321294,0.086352322
302509:6179,09/08/17 23:12:14,20,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.005151813,0.004987040
302513:6180,09/09/17 02:18:36,53,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.013229522,0.012202645
302522:6182,09/09/17 07:21:36,12,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.002340249,0.000508555
302523:6182,09/09/17 07:29:07,54,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.012633287,0.010748271
302525:6182,09/09/17 07:58:46,702,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.139781172,0.134813248
302526:6182,09/09/17 13:00:58,582,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.090482648,0.088305524
302548:6185,09/10/17 01:59:07,81,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.017592499,0.015739562
302551:6185,09/10/17 02:41:42,6,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.001316382,0.000103949
302553:6185,09/10/17 02:50:55,187,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.038859434,0.037036843
302554:6185,09/10/17 04:05:18,3,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.000595511,0.000091438
302555:6185,09/10/17 04:09:27,11,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.002176059,0.001909607
302563:6186,09/10/17 07:12:18,7,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.001439095,0.000320075
302565:6186,09/10/17 07:21:03,3,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.000697430,0.000149416
302572:6186,09/10/17 08:51:54,281,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.055772492,0.053765298
302573:6186,09/10/17 10:44:44,1249,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.192171178,0.187919165
302596:6189,09/11/17 03:28:46,920,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.179019317,0.173172028
302597:6189,09/11/17 09:35:10,1054,HLT_PFHT380_SixPFJet32_DoublePFBTagDeepCSV_2p2_v4,0.148097116,0.145123420
