#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
305405:6317,10/22/17 18:15:49,494,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.169310523,0.159491167
305406:6317,10/22/17 21:45:00,1458,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.328170351,0.316024204
305440:6318,10/23/17 10:50:33,266,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.092395029,0.083253340
305441:6318,10/23/17 12:36:13,121,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.038085372,0.036615177
305516:6323,10/23/17 23:42:58,552,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.186384756,0.170811889
305517:6323,10/24/17 03:42:14,163,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.049736159,0.033973948
305518:6323,10/24/17 04:48:59,1134,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.242865953,0.233807313
305586:6324,10/24/17 17:46:56,531,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.180913877,0.171033459
305589:6324,10/24/17 22:47:21,691,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.170274056,0.162878243
305590:6324,10/25/17 03:17:26,1004,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.155970996,0.151936421
305636:6325,10/25/17 13:27:50,2326,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.548675103,0.525219671
305766:6337,10/27/17 04:37:33,847,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.276827604,0.263689496
305809:6341,10/27/17 23:20:38,142,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.048880031,0.045952441
305814:6343,10/28/17 06:17:08,1823,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.469026860,0.446803627
305821:6344,10/28/17 20:29:22,772,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.255098811,0.240463320
305832:6346,10/29/17 11:22:50,180,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.062759526,0.058021275
305840:6346,10/29/17 15:39:01,1141,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.262149299,0.251347322
305842:6346,10/29/17 23:07:26,862,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.117828015,0.114870231
305862:6347,10/30/17 11:28:42,625,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.212680289,0.202188598
305898:6348,10/30/17 20:22:11,711,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.241359854,0.230935201
305902:6349,10/31/17 04:27:05,469,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.161708801,0.154344858
305967:6351,10/31/17 16:08:26,32,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v5,0.011124217,0.010507825
306029:6355,11/01/17 18:28:41,32,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.011153950,0.009157238
306030:6355,11/01/17 18:41:57,110,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.038360904,0.034967629
306036:6356,11/01/17 22:43:47,4,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.001396019,0.000072865
306037:6356,11/01/17 22:46:26,44,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.015370796,0.012206880
306038:6356,11/01/17 23:06:46,138,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.048166785,0.044162104
306041:6356,11/02/17 00:07:18,320,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.107522656,0.100003850
306042:6356,11/02/17 02:14:22,365,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.106023825,0.100185074
306048:6356,11/02/17 04:39:06,136,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.034464827,0.032036620
306049:6356,11/02/17 05:33:33,358,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.078872655,0.075297556
306051:6356,11/02/17 08:00:13,415,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.072669368,0.070670052
306091:6358,11/02/17 18:43:55,198,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.065433372,0.060611342
306092:6358,11/02/17 20:04:27,972,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.235038926,0.220128194
306095:6358,11/03/17 02:42:56,300,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.050435816,0.049130689
306121:6360,11/03/17 13:15:57,91,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.031758830,0.028670528
306122:6360,11/03/17 13:53:17,127,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.044337089,0.040636078
306125:6360,11/03/17 14:46:12,2964,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.581028780,0.560771797
306126:6360,11/04/17 10:14:24,497,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.030334921,0.029717428
306134:6362,11/04/17 17:39:47,24,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.008375497,0.006957271
306135:6362,11/04/17 17:52:01,1095,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.349232517,0.329516189
306138:6362,11/05/17 01:32:21,1298,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.218013924,0.211381092
306139:6362,11/05/17 10:17:58,1112,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.103464849,0.101514714
306153:6364,11/06/17 02:35:56,83,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.028946871,0.026435393
306154:6364,11/06/17 03:10:19,1213,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.362250840,0.334755794
306155:6364,11/06/17 11:12:05,1440,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.225439982,0.219491926
306169:6364,11/06/17 21:43:34,735,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.068312137,0.066299041
306170:6364,11/07/17 02:33:04,15,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.001212293,0.001135254
306171:6364,11/07/17 02:41:35,503,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v6,0.036343851,0.035728272
306418:6370,11/09/17 02:11:31,66,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.022973290,0.020778732
306419:6370,11/09/17 02:41:06,58,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.020135929,0.018423612
306420:6370,11/09/17 03:06:38,108,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.037260249,0.034221123
306422:6370,11/09/17 04:30:37,115,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.036763197,0.034684710
306423:6370,11/09/17 05:16:28,323,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.090765408,0.085778258
306432:6370,11/09/17 08:44:06,339,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.034315611,0.033338319
306454:6371,11/09/17 14:18:49,85,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.029494176,0.026851397
306455:6371,11/09/17 14:53:13,6,HLT_QuadPFJet98_83_71_15_DoubleBTagCSV_p013_p08_VBF1_v7,0.002099691,0.001621957
