#Data tag : 23v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
316061:6662,05/10/18 11:00:15,36,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.006254605,0.006146917
315974:6659,05/09/18 07:17:09,71,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.019080182,0.018532205
316058:6662,05/09/18 22:47:16,364,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.142755731,0.137197208
316059:6662,05/10/18 01:10:21,566,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.178381890,0.170426968
316060:6662,05/10/18 04:53:15,935,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.203915094,0.198479234
316062:6662,05/10/18 12:24:04,4,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.000709713,0.000698283
316082:6663,05/10/18 14:45:58,371,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.145838771,0.141359586
316110:6666,05/10/18 23:22:27,210,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.084662551,0.081969483
316111:6666,05/11/18 00:46:45,48,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.017661731,0.015161958
316113:6666,05/11/18 01:16:41,64,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.022311647,0.020491266
316114:6666,05/11/18 01:42:59,1561,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.377645756,0.367994967
316153:6672,05/11/18 19:03:13,770,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.263569557,0.256240431
316186:6674,05/12/18 05:00:17,44,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.017141809,0.015153677
316187:6674,05/12/18 05:18:33,1970,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.534587696,0.512428751
316199:6675,05/12/18 20:55:11,1165,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.416331454,0.401961320
316200:6675,05/13/18 04:29:14,10,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.002635834,0.002226180
316201:6675,05/13/18 04:36:34,498,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.115957736,0.110093155
316202:6675,05/13/18 07:53:19,403,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.077434166,0.075106131
316216:6677,05/13/18 13:57:38,442,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.179260722,0.171479086
316217:6677,05/13/18 17:05:03,264,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.091441855,0.088158861
316218:6677,05/13/18 18:52:47,1008,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.250380950,0.243232708
316219:6677,05/14/18 01:33:19,283,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.050387980,0.048978441
316239:6681,05/14/18 07:52:32,589,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1,0.217721889,0.209319054
