path,act. lumi (fb-1),eff. lumi (fb-1),first run,last run,menu version,dataset
HLT_AK8PFJet330_PFAK8BTagCSV_p17_v,7.73,7.73,305405,306460,v4.0,BTagCSV
HLT_AK8PFJet330_PFAK8BTagCSV_p1_v,7.73,7.73,305405,306460,v4.0,BTagCSV
HLT_DoublePFJets100MaxDeta1p6_DoubleCaloBTagCSV_p33_v,36.75,36.34,299368,306460,v2.0,BTagCSV
HLT_DoublePFJets100_CaloBTagCSV_p33_v,36.75,0.26,299368,306460,v2.0,BTagCSV
HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagCSV_p33_v,36.75,36.34,299368,306460,v2.0,BTagCSV
HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagCSV_p33_v,36.75,36.34,299368,306460,v2.0,BTagCSV
HLT_DoublePFJets200_CaloBTagCSV_p33_v,36.75,3.44,299368,306460,v2.0,BTagCSV
HLT_DoublePFJets350_CaloBTagCSV_p33_v,36.75,19.82,299368,306460,v2.0,BTagCSV
HLT_DoublePFJets40_CaloBTagCSV_p33_v,36.75,0.0791,299368,306460,v2.0,BTagCSV
HLT_HT300PT30_QuadJet_75_60_45_40_TripeCSV_p07_v,4.79,4.79,297050,299329,v1.1,BTagCSV
HLT_HT300PT30_QuadJet_75_60_45_40_v,4.79,0.024,297050,299329,v1.1,BTagCSV
HLT_Mu12_DoublePFJets100_CaloBTagCSV_p33_v,36.75,1.54,299368,306460,v2.0,BTagCSV
HLT_Mu12_DoublePFJets200_CaloBTagCSV_p33_v,36.75,25.52,299368,306460,v2.0,BTagCSV
HLT_Mu12_DoublePFJets350_CaloBTagCSV_p33_v,36.75,36.75,299368,306460,v2.0,BTagCSV
HLT_Mu12_DoublePFJets40MaxDeta1p6_DoubleCaloBTagCSV_p33_v,36.75,36.75,299368,306460,v2.0,BTagCSV
HLT_Mu12_DoublePFJets40_CaloBTagCSV_p33_v,36.75,0.09,299368,306460,v2.0,BTagCSV
HLT_Mu12_DoublePFJets54MaxDeta1p6_DoubleCaloBTagCSV_p33_v,36.75,36.75,299368,306460,v2.0,BTagCSV
HLT_Mu12_DoublePFJets62MaxDeta1p6_DoubleCaloBTagCSV_p33_v,36.75,36.75,299368,306460,v2.0,BTagCSV
HLT_PFHT300PT30_QuadPFJet_75_60_45_40_TriplePFBTagCSV_3p0_v,36.75,36.75,299368,306460,v2.0,BTagCSV
HLT_PFHT300PT30_QuadPFJet_75_60_45_40_v,36.75,0.29,299368,306460,v2.0,BTagCSV
HLT_QuadPFJet103_88_75_15_BTagCSV_p013_VBF2_v,7.73,7.73,305405,306460,v4.0,BTagCSV
HLT_QuadPFJet103_88_75_15_DoubleBTagCSV_p013_p08_VBF1_v,7.73,7.73,305405,306460,v4.0,BTagCSV
HLT_QuadPFJet105_88_76_15_BTagCSV_p013_VBF2_v,7.73,7.73,305405,306460,v4.0,BTagCSV
